GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
021323,BERDAN INSTITUTE,,265 ROUTE 46 WEST,TOTOWA,NJ,07512,1 yr/Prop,95,        35,       300,11.7,,FL,94,        55,       378,14.6,,FL,93,        63,       350,18,,FL,,,B,08,02
007362,THE STUART SCHOOL OF BUSINESS ADMIN,ISTRATION,2400 BELMAR BOULEVARD,WALL,NJ,07719,1 yr/Prop,95,        11,        96,11.5,,FL,94,        11,        86,12.8,,FL,93,        16,       115,13.9,,FL,,,B,06,02
006417,HOLY NAME HOSPITAL SCHOOL OF NURSIN,G,690 TEANECK ROAD,TEANECK,NJ,07666,2 yr/Priv,95,         2,        23,11.2,*,FL,94,         3,        38,7.9,,FL,93,         5,        28,7.2,*,FL,,,F,09,02
021836,CAPRI INSTITUTE OF HAIR DESIGN,,660 N MICHIGAN AVE,KENILWORTH,NJ,07033,1 yr/Prop,95,         4,        37,10.8,,FL,94,         6,        43,14,,FL,93,         1,        23,10.8,*,FL,,,B,07,02
009344,RAMAPO COLLEGE OF NEW JERSEY,,505 RAMAPO VALLEY ROAD,MAHWAH,NJ,07430,5 yr/Pub,95,        44,       407,10.8,,FL,94,        54,       346,15.6,,FL,93,        45,       334,13.5,,FL,,,B,05,02
002599,CENTENARY COLLEGE,,400 JEFFERSON STREET,HACKETTSTOWN,NJ,07840,5 yr/Priv,95,        15,       142,10.6,,FL,94,        28,       182,15.4,,FL,93,        10,       123,8.1,,FL,,,F,05,02
006428,SAINT FRANCIS HOSPITAL SCHOOL OFNUR,SING,25 EAST HAMILTON PLACE,JERSEY CITY,NJ,07302,2 yr/Priv,95,         1,         8,10.5,*,FL,94,         0,         6,5.6,*,FL,93,         1,         5,4.5,*,FL,,,B,13,02
004740,MERCER COUNTY COMMUNITY COLLEGE,,1200 OLD TRENTON ROAD,TRENTON,NJ,08690,2 yr/Pub,95,        19,       182,10.4,,FL,94,        19,       142,13.4,,FL,93,        12,       110,10.9,,FL,,,B,04,02
002625,WILLIAM PATERSON COLLEGE OF NEW JER,SEY,300 POMPTON ROAD,WAYNE,NJ,07470,5 yr/Pub,95,        71,       684,10.4,,DU,94,        51,       554,9.2,,FL,93,        35,       424,8.3,,FL,C,,D,08,02
006421,MUHLENBERG REGIONAL MEDICAL CENTER,,PARK AVENUE & RANDOLPH ROAD,PLAINFIELD,NJ,07061,2 yr/Priv,95,         7,        69,10.1,,FL,94,         5,        52,9.6,,FL,93,         7,        46,15.2,,FL,,,F,07,02
002622,KEAN COLLEGE OF NEW JERSEY,,1000 MORRIS AVENUE,UNION,NJ,07083,5 yr/Pub,95,        76,       762,10,,FL,94,        56,       470,11.9,,FL,93,        39,       337,11.6,,FL,,,B,07,02
002624,OCEAN COUNTY COLLEGE,,COLLEGE DRIVE,TOMS RIVER,NJ,08754,2 yr/Pub,95,        16,       160,10,,FL,94,        19,       121,15.7,,FL,93,        10,       105,9.5,,FL,,,F,03,02
002601,CUMBERLAND COUNTY COLLEGE,,3222 COLLEGE DRIVE,VINELAND,NJ,08360,2 yr/Pub,95,         9,        91,9.9,,FL,94,         9,        69,13,,FL,93,        11,        54,20.4,,FL,,,F,02,02
020537,HOHOKUS SCHOOL (THE),,50 SOUTH FRANKLIN TURNPIKE,RAMSEY,NJ,07446,1 yr/Prop,95,        15,       152,9.9,,FL,94,        15,       160,9.4,,FL,93,        34,       161,21.1,,FL,,,B,05,02
021885,GLOUCESTER COUNTY VOCATIONAL TECHNI,CAL SCHOOL DISTRICT,TANYARD ROAD,SEWELL,NJ,08080,1 yr/Pub,95,         3,        26,9.6,*,FL,94,         1,        13,7.9,*,FL,93,         1,        13,6.1,*,FL,,,B,01,02
010851,CHUBB INSTITUTE,,8 SYLVAN WAY,PARSIPPANY,NJ,07054,1 yr/Prop,95,        78,       817,9.5,,FL,94,       161,      1017,15.8,,FL,93,       133,       937,14.2,,FL,,,B,11,02
007729,COUNTY COLLEGE OF MORRIS,,214 CENTER GROVE ROAD,RANDOLPH,NJ,07869,2 yr/Pub,95,        21,       220,9.5,,FL,94,        19,       168,11.3,,FL,93,        13,       135,9.6,,FL,,,F,11,02
002610,FELICIAN COLLEGE,,262 SOUTH MAIN STREET,LODI,NJ,07644,4 yr/Priv,95,         6,        64,9.4,,FL,94,         2,        28,9.8,*,FL,93,         3,        21,8.3,*,FL,,,F,09,02
002607,FAIRLEIGH DICKINSON UNIVERSITY,,1000 RIVER ROAD,TEANECK,NJ,07666,5 yr/Priv,95,       119,      1276,9.3,,FL,94,       135,      1325,10.2,,FL,93,       137,      1233,11.1,,FL,,,F,09,02
005452,TETEBORO SCHOOL OF AERONAUTICS,,80 MOONACHIE AVENUE,TETERBORO,NJ,07608,2 yr/Prop,95,         8,        87,9.2,,FL,94,        13,       108,12,,FL,93,        21,       137,15.3,,FL,,,B,09,02
025587,ACADEMY OF COMPUTER CAREERS,,16 HAINES AVENUE,BERLIN,NJ,08009,600 hr/Prop,95,         4,        44,9.1,,FL,94,        12,        93,12.9,,FL,93,        44,       161,27.3,,FL,C,,,01,02
002598,CALDWELL COLLEGE,,9 RYERSON AVENUE,CALDWELL,NJ,07006,5 yr/Priv,95,        11,       127,8.7,,FL,94,        14,        99,14.1,,FL,93,        11,        99,11.1,,FL,,,F,11,02
002643,UNION COUNTY COLLEGE,,1033 SPRINGFIELD AVENUE,CRANFORD,NJ,07016,2 yr/Pub,95,        12,       138,8.7,,FL,94,         7,        83,8.4,,FL,93,        13,        77,16.9,,FL,,,F,07,02
021040,HARRIS SCHOOL OF BUSINESS,,"654 LONGWOOD AVENE, ROUTE 38",CHERRY HILL,NJ,08002,1 yr/Prop,95,         5,        58,8.6,,FL,94,         7,        87,8,,FL,93,        16,        80,20,,FL,,,B,03,02
002619,NEW BRUNSWICK THEOLOGICAL SEMINARY,,17 SEMINARY PLACE,NEW BRUNSWICK,NJ,08901,5 yr/Priv,95,         2,        16,8.5,*,FL,94,         2,        14,5.3,*,FL,93,         0,        17,0,*,FL,,,F,06,02
002617,MONTCLAIR STATE UNIVERSITY,,VALLEY ROAD & NORMAL AVENUE,UPPER MONTCLAIR,NJ,07043,5 yr/Pub,95,        89,      1077,8.3,,FL,94,        91,       957,9.5,,FL,93,        77,       756,10.2,,FL,,,B,08,02
012346,DOVER BUSINESS COLLEGE,,15 EAST BLACKWELL STREET,DOVER,NJ,07801,1 yr/Prop,95,        64,       785,8.2,,DU,94,        79,      1090,7.2,,FL,93,        77,       830,9.3,,FL,,,B,11,02
006865,CAMDEN COUNTY COLLEGE,,COLLEGE DRIVE,BLACKWOOD,NJ,08012,2 yr/Pub,95,        21,       259,8.1,,FL,94,        13,       145,9,,FL,93,        18,       134,13.4,,FL,,,F,01,02
