OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
005776,Mercy Hospital School of Radiologic Technology,144 State Street,Portland,ME,Maine,04101,3795,,Non-Degree 2 Years (1800-2699 hours),Priv,2003,0,0,0,*,FL,2002,0,1,0,*,FL,2001,0,0,0,*,FL,,F,01,01,1
023613,Landing School of Boatbuilding & Design (The),286 River Road,Arundel,ME,Maine,04046,1490,,Non-Degree 1 Year (900-1799 hours),Priv,2003,0,31,0,,FL,2002,0,26,4.6,*,FL,2001,2,24,4.9,*,FL,,F,01,01,1
034293,Seacoast  Career Schools,One Eagle Drive,Sanford,ME,Maine,04073,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2003,7,80,8.7,,FL,2002,0,12,0,*,FL,2001,,,,,N/A,,B,01,01,0
036123,Birthwise Midwifery School,24 South High Street,Bridgton,ME,Maine,04009,1110,,Non-Degree 2 Years (1800-2699 hours),Prop,2003,0,3,0,*,FL,2002,,,,,N/A,2001,,,,,N/A,,F,01,01,0
008308,Cecil Community College,One Seahawk Drive,North East,MD,Maryland,21901,1999,,Associate's Degree,Pub,2003,6,53,11.3,,FL,2002,3,37,8.1,,FL,2001,1,40,2.5,,FL,,F,01,03,1
022889,ABI-AccuTech Business Institute,5310 Spectrum Drive,Frederick,MD,Maryland,21703,7337,,Non-Degree 1 Year (900-1799 hours),Prop,2003,13,119,10.9,,FL,2002,27,202,13.3,,FL,2001,13,184,7,,FL,,F,06,03,1
008263,Award Beauty School,26 East Antietam Street,Hagerstown,MD,Maryland,21740,5624,,Non-Degree 1 Year (900-1799 hours),Prop,2003,1,23,10.1,*,DU,2002,1,17,9.8,*,FL,2001,4,19,13.1,*,FL,,B,06,03,1
002061,Baltimore City Community College,2901 Liberty Heights Avenue,Baltimore,MD,Maryland,21215,7893,,Associate's Degree,Pub,2003,3,30,10,,FL,2002,5,63,7.9,,FL,2001,3,37,8.1,,FL,,,07,03,1
002083,Morgan State University,1700 East Cold Spring Lane,Baltimore,MD,Maryland,21251,0002,,Master's Degree or Doctor's Degree,Pub,2003,159,1579,10,,DU,2002,185,1390,13.3,,DU,2001,196,1436,13.6,,DU,H,B,07,03,1
007341,International Beauty School,214 C Paca Street,Cumberland,MD,Maryland,21502,2370,,Non-Degree 1 Year (900-1799 hours),Prop,2003,3,30,10,,DU,2002,0,15,6,*,DU,2001,2,16,13.8,*,DU,,B,06,03,1
025454,North America Trade Schools,6901 Security Boulevard,Baltimore,MD,Maryland,21244,0069,,Non-Degree 1 Year (900-1799 hours),Prop,2003,11,109,10,,FL,2002,7,82,8.5,,FL,2001,11,135,8.1,,DU,,B,06,03,1
010319,Medix School,700 York Road,Towson,MD,Maryland,21204,2538,,Non-Degree 1 Year (900-1799 hours),Prop,2003,100,1006,9.9,,FL,2002,112,693,16.1,,FL,2001,97,849,11.4,,FL,,B,02,03,1
034933,All-State Career School,"2200  Broening Highway, Suite 160",Baltimore,MD,Maryland,21224,6658,,Non-Degree 1 Year (900-1799 hours),Prop,2003,37,376,9.8,,FL,2002,4,33,12.1,,FL,2001,0,0,12.9,*,FL,,F,02,03,1
007491,TESST College of Technology,1520 South Caton Avenue,Baltimore,MD,Maryland,21227,1063,,Associate's Degree,Prop,2003,38,400,9.5,,DU,2002,41,424,9.6,,DU,2001,37,310,11.9,,DU,,B,03,03,1
033273,New Creations Academy of Hair Design,3930 Bexley Place,Suitland,MD,Maryland,20746,2960,,Non-Degree 1 Year (900-1799 hours),Prop,2003,0,15,9,*,DL,2002,4,24,12.5,*,DL,2001,1,16,6.2,*,DL,,B,04,03,1
007447,Del-Mar-Va Beauty Academy,111 Milford Street,Salisbury,MD,Maryland,21804,6952,,Non-Degree 1 Year (900-1799 hours),Prop,2003,5,56,8.9,,DL,2002,4,31,12.9,,DL,2001,3,38,7.8,,DL,,B,01,03,1
007936,Lincoln Technical Institute,9325 Snowden River Parkway,Columbia,MD,Maryland,21046,1544,,Non-Degree 2 Years (1800-2699 hours),Prop,2003,72,809,8.8,,FL,2002,43,605,7.1,,FL,2001,31,541,5.7,,FL,,B,03,03,1
030649,Aaron's Academy of Beauty,11690 Doolittle Drive,Waldorf,MD,Maryland,20602,2715,,Non-Degree 1 Year (900-1799 hours),Prop,2003,3,37,8.1,,DL,2002,1,28,17.3,*,DL,2001,8,30,26.6,,DL,,B,05,03,1
023330,Hair Academy,8435 Annapolis Road,New Carrollton,MD,Maryland,20784,3002,,Non-Degree 1 Year (900-1799 hours),Prop,2003,15,199,7.5,,DU,2002,25,190,13.1,,DU,2001,21,202,10.3,,DU,,B,05,03,1
020836,TESST College of Technology,4600 Powder Mill Road,Beltsville,MD,Maryland,20705,2698,,Associate's Degree,Prop,2003,25,352,7.1,,DU,2002,41,390,10.5,,DU,2001,37,399,9.2,,DU,,B,05,03,1
023438,Montgomery Beauty School,8736 Arliss Street,Silver Spring,MD,Maryland,20901,3905,,Non-Degree 1 Year (900-1799 hours),Prop,2003,8,112,7.1,,DL,2002,16,91,17.5,,DL,2001,14,94,14.8,,DL,,B,04,03,1
023148,Baltimore International College,17 Commerce Street,Baltimore,MD,Maryland,21202,3278,,Bachelor's Degree,Priv,2003,18,257,7,,FL,2002,24,260,9.2,,FL,2001,33,301,10.9,,FL,,F,07,03,1
010014,Garrett College,687 Mosser Road,McHenry,MD,Maryland,21541,1265,,Associate's Degree,Pub,2003,9,133,6.7,,DU,2002,10,159,6.2,,DU,2001,18,138,13,,DU,,B,06,03,1
002068,Coppin State University,2500 West North Avenue,Baltimore,MD,Maryland,21216,3698,,Master's Degree or Doctor's Degree,Pub,2003,54,809,6.6,,DU,2002,80,735,10.8,,DU,2001,63,741,8.5,,DU,H,B,07,03,1
002074,Hagerstown Community College,11400 Robinwood Drive,Hagerstown,MD,Maryland,21742,6590,,Associate's Degree,Pub,2003,11,165,6.6,,FL,2002,18,196,9.1,,FL,2001,11,173,6.3,,FL,,F,06,03,1
020739,Wor-Wic Community College,32000 Campus Drive,Salisbury,MD,Maryland,21804,1486,,Associate's Degree,Pub,2003,6,91,6.5,,FL,2002,5,101,4.9,,FL,2001,7,80,8.7,,FL,,F,01,03,1
022697,International Beauty School - Bel Air,227 Archer Street,Bel Air,MD,Maryland,21014,3639,,Non-Degree 1 Year (900-1799 hours),Prop,2003,2,31,6.4,,DU,2002,1,14,4.7,*,DU,2001,2,21,5.7,*,DU,,B,01,03,1
007946,Hagerstown Business College,18618 Crestwood Drive,Hagerstown,MD,Maryland,21742,2797,,Associate's Degree,Prop,2003,32,554,5.7,,DL,2002,36,381,9.4,,DU,2001,32,392,8.1,,DU,,B,06,03,1
010410,TESST College of Technology,803 Glen Eagles Court,Towson,MD,Maryland,21286,2201,,Associate's Degree,Prop,2003,16,290,5.5,,DU,2002,19,274,6.9,,DU,2001,12,286,4.1,,DL,,B,02,03,1
006911,Montgomery College,51 Mannakee Street,Rockville,MD,Maryland,20850,1195,,Associate's Degree,Pub,2003,31,620,5,,FL,2002,40,520,7.6,,FL,2001,44,716,6.1,,FL,,F,08,03,1
002064,College of Southern Maryland,8730 Mitchell Road,La Plata,MD,Maryland,20646,0000,,Associate's Degree,Pub,2003,8,169,4.7,,FL,2002,8,156,5.1,,FL,2001,4,158,2.5,,FL,,F,05,03,1
002063,Community College of Baltimore County,800 South Rolling Road,Baltimore,MD,Maryland,21228,5381,,Associate's Degree,Pub,2003,22,488,4.5,,DU,2002,49,728,6.7,,DU,2001,22,554,3.9,,DU,,B,07,03,1
002062,Bowie State University,14000 Jericho Park Road,Bowie,MD,Maryland,20715,9465,,Master's Degree or Doctor's Degree,Pub,2003,36,819,4.3,,DU,2002,48,740,6.4,,DU,2001,60,843,7.1,,DU,H,B,05,03,1
002106,University of Maryland - Eastern Shore,Backbone Road,Princess Anne,MD,Maryland,21853,4053,,Master's Degree or Doctor's Degree,Pub,2003,35,798,4.3,,DU,2002,71,786,9,,DU,2001,67,786,8.5,,DU,H,B,01,03,1
002058,Anne Arundel Community College,101 College Parkway,Arnold,MD,Maryland,21012,1895,,Associate's Degree,Pub,2003,29,678,4.2,,FL,2002,40,648,6.1,,FL,2001,32,677,4.7,,FL,,F,01,03,1
002067,Columbia Union College,7600 Flower Avenue,Takoma Park,MD,Maryland,20912,7796,,Master's Degree or Doctor's Degree,Priv,2003,10,250,4,,FL,2002,11,276,3.9,,FL,2001,11,295,3.7,,FL,,F,08,03,1
025738,L'Academie de Cuisine,16006 Industrial Drive,Gaithersburg,MD,Maryland,20877,1414,,Non-Degree 1 Year (900-1799 hours),Prop,2003,2,54,3.7,,FL,2002,2,47,4.2,,FL,2001,0,41,0,,FL,,F,08,03,1
031483,American Beauty Academy,2518 University Boulevard West,Wheaton,MD,Maryland,20902,1911,,Non-Degree 1 Year (900-1799 hours),Prop,2003,2,54,3.7,,DL,2002,4,26,7.8,*,DU,2001,1,24,2.7,*,DU,,B,08,03,1
