OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date,
2326400,Tri-City Barber School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Lose,,
2331000,Maryland Beauty Academy of Essex,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2331300,Interactive Learning Systems,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2332800,Center for Employment Training,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2336900,Alpha Beauty School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2340000,Colonial Heights Beauty Academy,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2340800,J & M Academy of Cosmetology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2342400,Academy of Radio & TV Broadcasting,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Win,,
2354500,Southeastern  Beauty Schools,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2357700,Academy of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Lose,,
2361500,Michigan Barber School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,,
2490500,Hair Fashions by Kaye Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2490700,Hair Fashions by Kaye Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2491400,Spanish-American Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2493400,Alexandria Academy of Beauty Culture,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2493600,Chattanooga  Barber College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2494700,Baltimore Studio of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2495800,Focus: Hope Machinist Training Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2504900,Academy of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2508700,Omni Technical School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2515500,California Business Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2520200,California Career School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2522900,East Kentucky Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2530700,Sebring Career Schools,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2530800,Politechnical Institute of Florida,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2536700,Bell Mar Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2538300,Technology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2560800,Cosmetology,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2563300,Kankakee Academy of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
2563500,Rogie's School of Beauty Culture,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,6/22/1999
2572500,Davenport Barber Styling College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2575800,Avanti Hair Tech,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2581200,CC's Cosmetology College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Loan Servicing,Lose,0,6/22/1999
2583700,Municipal Training Center,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2590000,Metro College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2607100,New Images Academy,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2608500,Delta Career Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2609900,SER Business and Technical Institute,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,na,Lose,,
2614700,Springfield Clark County Joint Vocational School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Mitigating Circumstances,Win,,
2616600,Shear Ego International School of Hair Design,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
2619000,Boardwalk & Marina Casino Dealer School of Atlantic City,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
3003800,Anderson County Beauty College,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,,
3005100,Arkansas Beauty School,1996,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,1/11/1999
