OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date
2560800,Southeast School of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2602200,North American Heating & Air Conditioning Training Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/27/1998
2200100,Bradenton Beauty & Barber Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/28/1998
961300,Merrillville Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,4/29/1998
2199100,Academy of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,4/29/1998
2494700,Baltimore Studio of Hair Design,,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,4/29/1998
2077700,Roffler Academy of Hairstylists,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/30/1998
2215700,Artistic School of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/30/1998
2316700,Potomac Academy of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/30/1998
2558300,Jackson Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,0,4/30/1998
