opeid	name	year	imputed_recipients	imputed_pell_ind
844300	Itt Technical Institute	1998	552	1
908800	Itt Technical Institute	1998	880	1
1062700	Itt Technical Institute	1998	1506	1
1185200	Itt Technical Institute	1998	751	1
2065200	Itt Technical Institute	1998	1175	1
2120900	Itt Technical Institute	1998	554	1
2291500	Itt Technical Institute	1998	827	1
2291600	Itt Technical Institute	1998	548	1
2321700	Itt Technical Institute	1998	972	1
2321800	Itt Technical Institute	1998	770	1
2321900	Itt Technical Institute	1998	396	1
2328600	Itt Technical Institute	1998	678	1
2328700	Itt Technical Institute	1998	0	1
2359800	Itt Technical Institute	1998	1456	1
2361000	Itt Technical Institute	1998	913	1
2361100	Itt Technical Institute	1998	708	1
455300	Itt Technical Institute	1999	1007	1
732700	Itt Technical Institute	1999	2387	1
732900	Itt Technical Inst-Indianapolis	1999	3413	1
832900	Itt Technical Institute	1999	1654	1
844300	Itt Technical Institute	1999	612	1
908800	Itt Technical Institute	1999	976	1
1062700	Itt Technical Institute	1999	1669	1
1185200	Itt Technical Institute	1999	832	1
2065200	Itt Technical Institute	1999	1303	1
2120900	Itt Technical Institute	1999	615	1
2291500	Itt Technical Institute	1999	917	1
2291600	Itt Technical Institute	1999	607	1
2321700	Itt Technical Institute	1999	1077	1
2321800	Itt Technical Institute	1999	854	1
2321900	Itt Technical Institute	1999	439	1
2328600	Itt Technical Institute	1999	752	1
2328700	Itt Technical Institute	1999	0	1
2359800	Itt Technical Institute	1999	1614	1
2361000	Itt Technical Institute	1999	1012	1
2361100	Itt Technical Institute	1999	785	1
455300	Itt Technical Institute	2000	988	1
732700	Itt Technical Institute	2000	2342	1
732900	Itt Technical Institute -	2000	3349	1
832900	Itt Technical Institute	2000	1623	1
844300	Itt Technical Institute	2000	600	1
908800	Itt Technical Institute	2000	957	1
1062700	Itt Technical Institute	2000	1638	1
1185200	Itt Technical Institute	2000	817	1
2065200	Itt Technical Institute	2000	1278	1
2120900	Itt Technical Institute	2000	603	1
2291500	Itt Technical Institute	2000	900	1
2291600	Itt Technical Institute	2000	596	1
2321700	Itt Technical Institute	2000	1057	1
2321800	Itt Technical Institute	2000	838	1
2321900	Itt Technical Institute	2000	431	1
2328600	Itt Technical Institute	2000	738	1
2328700	Itt Technical Institute	2000	0	1
2359800	Itt Technical Institute	2000	1583	1
2361000	Itt Technical Institute	2000	993	1
2361100	Itt Technical Institute	2000	770	1
455300	Itt Technical Institute	2001	1009	1
732700	Itt Technical Institute	2001	2391	1
732900	Itt Technical Institute -	2001	3420	1
832900	Itt Technical Institute	2001	1657	1
844300	Itt Technical Institute	2001	613	1
908800	Itt Technical Institute	2001	977	1
1062700	Itt Technical Institute	2001	1673	1
1185200	Itt Technical Institute	2001	834	1
2065200	Itt Technical Institute	2001	1305	1
2120900	Itt Technical Institute	2001	616	1
2291500	Itt Technical Institute	2001	919	1
2291600	Itt Technical Institute	2001	608	1
2321700	Itt Technical Institute	2001	1079	1
2321800	Itt Technical Institute	2001	856	1
2321900	Itt Technical Institute	2001	440	1
2328600	Itt Technical Institute	2001	754	1
2328700	Itt Technical Institute	2001	0	1
2359800	Itt Technical Institute	2001	1617	1
2361000	Itt Technical Institute	2001	1014	1
2361100	Itt Technical Institute	2001	787	1
455300	Itt Technical Institute	2002	1085	1
732700	Itt Technical Institute	2002	2572	1
732900	Itt Technical Institute -	2002	3679	1
832900	Itt Technical Institute	2002	1783	1
844300	Itt Technical Institute	2002	659	1
908800	Itt Technical Institute	2002	1051	1
1062700	Itt Technical Institute	2002	1799	1
1185200	Itt Technical Institute	2002	897	1
2065200	Itt Technical Institute	2002	1404	1
2120900	Itt Technical Institute	2002	662	1
2291500	Itt Technical Institute	2002	988	1
2291600	Itt Technical Institute	2002	654	1
2321700	Itt Technical Institute	2002	1161	1
2321800	Itt Technical Institute	2002	920	1
2321900	Itt Technical Institute	2002	473	1
2328600	Itt Technical Institute	2002	811	1
2328700	Itt Technical Institute	2002	0	1
2359800	Itt Technical Institute	2002	1739	1
2361000	Itt Technical Institute	2002	1091	1
2361100	Itt Technical Institute	2002	846	1
455300	Itt Technical Institute	2003	1223	1
732700	Itt Technical Institute	2003	2899	1
732900	Itt Technical Institute -	2003	4145	1
832900	Itt Technical Institute	2003	2009	1
844300	Itt Technical Institute	2003	743	1
908800	Itt Technical Institute	2003	1185	1
1062700	Itt Technical Institute	2003	2027	1
1185200	Itt Technical Institute	2003	1011	1
2065200	Itt Technical Institute	2003	1582	1
2120900	Itt Technical Institute	2003	746	1
2291500	Itt Technical Institute	2003	1114	1
2291600	Itt Technical Institute	2003	737	1
2321700	Itt Technical Institute	2003	1308	1
2321800	Itt Technical Institute	2003	1037	1
2321900	Itt Technical Institute	2003	533	1
2328600	Itt Technical Institute	2003	914	1
2328700	Itt Technical Institute	2003	0	1
2359800	Itt Technical Institute	2003	1960	1
2361000	Itt Technical Institute	2003	1230	1
2361100	Itt Technical Institute	2003	954	1
455300	Itt Technical Institute	2004	1516	1
732700	Itt Technical Institute	2004	3593	1
732900	Itt Technical Institute -	2004	5139	1
832900	Itt Technical Institute	2004	2491	1
844300	Itt Technical Institute	2004	921	1
